Rank,Name,Team,Position,Opponent,Matchup_Grade,Edge_Score,Hidden_Score,Research_Score,Contextual_Score,Final_Score,Outlook,Live_Injury_Status,Top_Factor_1,Top_Factor_2,Bye_Week,ADP_Diff
67,Adam Prentice,NO,RB,PHI,99.2,38.3,54.97,56.48,67.97,64.23,PLAY,Healthy,matchup (100),environment (83),11,3.9
68,Hunter Luepke,DAL,RB,BAL,66.9,40.77,59.52,69.53,55.74,64.19,NEUTRAL,Healthy,environment (83),matchup (68),12,4.0
69,Jamaal Williams,NO,RB,PHI,99.2,42.22,48.52,61.44,67.97,64.15,PLAY,Healthy,matchup (100),environment (83),13,4.2
70,Trey Lance,DAL,QB,BAL,64.2,55.21,55.3,48.25,61.73,64.06,PLAY,Healthy,coach_fit (95),surface (83),14,4.3
71,Roschon Johnson,CHI,RB,IND,40.6,56.69,61.86,58.66,49.95,64.05,NEUTRAL,Healthy,environment (83),referee (50),1,4.5
72,Easton Stick,LAC,QB,PIT,87.0,56.1,57.0,36.8,65.92,63.98,PLAY,Healthy,coach_fit (95),matchup (88),2,4.6
73,Jerry Jeudy,CLE,WR,NYG,62.6,67.0,59.83,41.51,54.42,63.9,NEUTRAL,Healthy,surface (75),coach_fit (66),3,4.8
74,Jahmyr Gibbs,DET,RB,ARI,36.6,61.36,61.44,45.82,54.2,63.89,NEUTRAL,Healthy,environment (83),coach_fit (66),4,5.0
75,Dresser Winn,LA,QB,SF,68.9,62.09,56.84,42.04,59.43,63.86,NEUTRAL,Healthy,coach_fit (95),matchup (70),5,5.1
76,Stetson Bennett,LA,QB,SF,68.9,62.09,56.84,42.04,59.43,63.86,NEUTRAL,Healthy,coach_fit (95),matchup (70),6,5.2
77,Dillon Johnson,CAR,RB,LV,99.2,40.82,62.09,42.04,67.97,63.77,PLAY,Healthy,matchup (100),environment (83),7,5.4
78,Emani Bailey,CAR,RB,LV,99.2,40.82,62.09,42.04,67.97,63.77,PLAY,Healthy,matchup (100),environment (83),8,5.5
79,Jaden Shirden,CAR,RB,LV,99.2,40.82,62.09,42.04,67.97,63.77,PLAY,Healthy,matchup (100),environment (83),9,5.7
80,Brian Thomas,JAX,WR,BUF,48.4,72.31,64.7,38.18,48.79,63.64,NEUTRAL,Healthy,coach_fit (66),referee (50),10,5.8
