Rank,Name,Team,Position,Opponent,Matchup_Grade,Edge_Score,Hidden_Score,Research_Score,Contextual_Score,Final_Score,Outlook,Live_Injury_Status,Top_Factor_1,Top_Factor_2,Bye_Week,ADP_Diff
1,Bijan Robinson,ATL,RB,KC,96.6,55.51,73.3,52.16,70.56,84.23,PLAY,Healthy,matchup (97),surface (83),1,-6.0
2,Alvin Kamara,NO,RB,PHI,100.0,60.98,63.92,55.62,71.3,83.03,PLAY,Healthy,matchup (100),surface (83),2,-5.8
3,Kyren Williams,LA,RB,SF,33.9,60.56,73.18,70.45,53.44,80.98,NEUTRAL,Healthy,environment (83),coach_fit (66),3,-5.7
4,Jonathan Taylor,IND,RB,CHI,45.3,66.38,70.99,55.03,59.26,80.41,NEUTRAL,Questionable,surface (83),environment (83),4,-5.5
5,Rhamondre Stevenson,NE,RB,NYJ,52.0,63.91,66.58,67.33,57.4,80.23,NEUTRAL,Healthy,environment (83),coach_fit (66),5,-5.4
6,Aaron Jones,MIN,RB,HOU,76.2,61.53,68.69,59.29,60.94,79.81,PLAY,Out,surface (83),environment (83),6,-5.2
7,Tony Pollard,TEN,RB,GB,63.3,66.38,69.59,53.93,59.89,79.58,NEUTRAL,Healthy,environment (83),coach_fit (66),7,-5.1
8,Joe Mixon,HOU,RB,MIN,73.0,63.85,68.64,53.94,62.04,79.48,PLAY,Healthy,environment (83),matchup (73),8,-5.0
9,Najee Harris,PIT,RB,LAC,64.3,57.83,67.68,63.86,60.12,78.76,PLAY,Healthy,environment (83),coach_fit (66),9,-4.8
10,Chuba Hubbard,CAR,RB,LV,48.2,58.32,69.74,54.95,59.08,75.78,NEUTRAL,Healthy,environment (83),surface (75),10,-4.6
11,Chase Brown,CIN,RB,WAS,35.7,63.74,70.64,55.88,53.02,74.59,NEUTRAL,Questionable,surface (83),environment (83),11,-4.5
12,Rico Dowdle,DAL,RB,BAL,67.7,58.84,68.22,59.4,55.74,74.39,NEUTRAL,Healthy,environment (83),matchup (68),12,-4.3
13,Joshua Kelley,TEN,RB,GB,63.3,48.84,67.33,64.15,59.89,74.37,NEUTRAL,Out,environment (83),coach_fit (66),13,-4.2
14,Josh Jacobs,GB,RB,TEN,36.1,60.48,71.05,56.02,53.91,74.08,NEUTRAL,Healthy,environment (83),coach_fit (66),14,-4.0
15,Saquon Barkley,PHI,RB,NO,24.6,62.92,71.58,54.52,51.37,72.98,NEUTRAL,Healthy,environment (83),coach_fit (66),1,-3.9
16,DK Metcalf,SEA,WR,MIA,85.7,58.77,65.76,49.29,60.16,72.07,PLAY,Healthy,matchup (86),surface (83),2,-3.8
17,Tyler Allgeier,ATL,RB,KC,96.6,44.73,60.11,59.83,67.23,71.91,PLAY,Healthy,matchup (97),environment (83),3,-3.6
18,Tyjae Spears,TEN,RB,GB,63.3,54.99,61.18,58.57,59.89,71.16,NEUTRAL,Questionable,environment (83),coach_fit (66),4,-3.4
19,Justin Jefferson,MIN,WR,HOU,35.4,69.92,70.16,48.39,49.08,71.07,NEUTRAL,Healthy,surface (83),coach_fit (66),5,-3.3
20,Mike Evans,TB,WR,DEN,64.1,69.96,70.18,51.98,46.95,70.96,NEUTRAL,Out,matchup (64),referee (50),6,-3.1
21,Tee Higgins,CIN,WR,WAS,100.0,61.26,58.21,48.61,63.3,70.74,PLAY,Healthy,matchup (100),surface (83),7,-3.0
