Rank,Name,Team,Position,Weekly Score,Edge Score,Hidden Score,Research Score,Contextual Score,Outlook,Top Factors,Upcoming Opponent,Matchup Grade,Referee,Surface,Prime Time Flag,Intl Games Note,International Multiplier
552,Ke'Shawn Williams,CIN,WR,1948.21,-58.55,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),HOU,50.0,,,N,,1.0
553,Anthony Gould,IND,WR,1936.36,-58.67,50.0,40.3,49.55,NEUTRAL,referee (50); surface (50),KC,50.0,,,N,,1.0
554,D.J. Montgomery,IND,WR,1829.69,-59.74,50.0,58.55,49.55,NEUTRAL,referee (50); surface (50),KC,50.0,,,N,,1.0
555,Johnny Wilson,PHI,WR,1829.69,-59.74,50.0,43.84,49.55,NEUTRAL,referee (50); surface (50),TEN,50.0,,,N,,1.0
556,Sean Clifford,CIN,QB,1279.18,-65.25,50.0,48.03,49.55,NEUTRAL,referee (50); surface (50),HOU,50.0,,,N,,1.0
557,Jake Haener,NYG,QB,1277.34,-65.27,50.0,45.02,49.55,NEUTRAL,referee (50); surface (50),LAR,50.0,,,N,,1.0
558,Jalen Milroe,SEA,QB,1274.58,-65.3,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),ARI,50.0,,,N,,1.0
559,Kedon Slovis,GB,QB,1272.74,-65.32,50.0,42.04,49.55,NEUTRAL,referee (50); surface (50),NYJ,50.0,,,N,,1.0
560,Hendon Hooker,TEN,QB,1267.23,-65.37,50.0,44.31,49.55,NEUTRAL,referee (50); surface (50),PHI,50.0,,,N,,1.0
561,Case Keenum,CHI,QB,1238.75,-65.66,50.0,48.15,49.55,NEUTRAL,referee (50); surface (50),MIN,50.0,,,N,,1.0
