Rank,Name,Team,Position,Opponent,Matchup_Grade,Edge_Score,Hidden_Score,Research_Score,Contextual_Score,Final_Score,Outlook,Live_Injury_Status,Top_Factor_1,Top_Factor_2,Bye_Week,ADP_Diff
1,Bijan Robinson,ATL,RB,KC,96.2,55.51,73.3,52.16,70.56,83.83,PLAY,Healthy,matchup (97),surface (83),1,-6.0
2,Alvin Kamara,NO,RB,PHI,99.6,60.98,63.92,55.62,71.3,82.63,PLAY,Healthy,matchup (100),surface (83),2,-5.8
3,Kyren Williams,LA,RB,SF,33.5,60.56,73.18,70.45,53.44,80.58,NEUTRAL,Healthy,environment (83),coach_fit (66),3,-5.7
4,Jonathan Taylor,IND,RB,CHI,44.9,66.38,70.99,55.03,59.26,80.01,NEUTRAL,Healthy,surface (83),environment (83),4,-5.5
5,Rhamondre Stevenson,NE,RB,NYJ,51.6,63.91,66.58,67.33,57.4,79.83,NEUTRAL,Healthy,environment (83),coach_fit (66),5,-5.4
6,Aaron Jones,MIN,RB,HOU,75.8,61.53,68.69,59.29,60.94,79.41,PLAY,Healthy,surface (83),environment (83),6,-5.2
7,Tony Pollard,TEN,RB,GB,62.9,66.38,69.59,53.93,59.89,79.18,NEUTRAL,Healthy,environment (83),coach_fit (66),7,-5.1
8,Joe Mixon,HOU,RB,MIN,72.6,63.85,68.64,53.94,62.04,79.08,PLAY,Healthy,environment (83),matchup (73),8,-5.0
9,Najee Harris,PIT,RB,LAC,63.9,57.83,67.68,63.86,60.12,78.36,PLAY,Healthy,environment (83),coach_fit (66),9,-4.8
10,Chuba Hubbard,CAR,RB,LV,47.8,58.32,69.74,54.95,59.08,75.38,NEUTRAL,Healthy,environment (83),surface (75),10,-4.6
11,Chase Brown,CIN,RB,WAS,35.3,63.74,70.64,55.88,53.02,74.19,NEUTRAL,Healthy,surface (83),environment (83),11,-4.5
12,Rico Dowdle,DAL,RB,BAL,67.3,58.84,68.22,59.4,55.74,73.99,NEUTRAL,Healthy,environment (83),matchup (68),12,-4.3
13,Joshua Kelley,TEN,RB,GB,62.9,48.84,67.33,64.15,59.89,73.97,NEUTRAL,Healthy,environment (83),coach_fit (66),13,-4.2
14,Josh Jacobs,GB,RB,TEN,35.7,60.48,71.05,56.02,53.91,73.68,NEUTRAL,Healthy,environment (83),coach_fit (66),14,-4.0
15,Saquon Barkley,PHI,RB,NO,24.2,62.92,71.58,54.52,51.37,72.58,NEUTRAL,Healthy,environment (83),coach_fit (66),1,-3.9
16,DK Metcalf,SEA,WR,MIA,85.3,58.77,65.76,49.29,60.16,71.67,PLAY,Healthy,matchup (86),surface (83),2,-3.8
17,Tyler Allgeier,ATL,RB,KC,96.2,44.73,60.11,59.83,67.23,71.51,PLAY,Healthy,matchup (97),environment (83),3,-3.6
18,Tyjae Spears,TEN,RB,GB,62.9,54.99,61.18,58.57,59.89,70.76,NEUTRAL,Healthy,environment (83),coach_fit (66),4,-3.4
19,Justin Jefferson,MIN,WR,HOU,35.0,69.92,70.16,48.39,49.08,70.67,NEUTRAL,Healthy,surface (83),coach_fit (66),5,-3.3
20,Mike Evans,TB,WR,DEN,63.7,69.96,70.18,51.98,46.95,70.56,NEUTRAL,Healthy,matchup (64),referee (50),6,-3.1
21,Tee Higgins,CIN,WR,WAS,99.6,61.26,58.21,48.61,63.3,70.34,PLAY,Healthy,matchup (100),surface (83),7,-3.0
22,Jordan Addison,MIN,WR,HOU,65.5,64.13,64.99,55.06,52.48,70.2,NEUTRAL,Healthy,coach_fit (66),matchup (66),8,-2.9
23,Jordan Mason,SF,RB,LA,52.1,56.95,53.19,63.32,60.86,69.5,PLAY,Healthy,surface (83),environment (83),9,-2.7
24,J.J. Taylor,HOU,RB,MIN,72.6,42.12,67.44,56.2,62.04,69.32,PLAY,Healthy,environment (83),matchup (73),10,-2.5
25,James Conner,ARI,RB,DET,43.3,61.28,61.57,50.77,58.09,69.31,NEUTRAL,Healthy,environment (83),surface (75),11,-2.4
26,D'Andre Swift,CHI,RB,IND,41.0,63.05,69.71,51.72,49.95,69.28,NEUTRAL,Healthy,environment (83),referee (50),12,-2.2
27,Jaxon Smith-Njigba,SEA,WR,MIA,84.9,60.8,69.58,41.49,56.73,69.11,NEUTRAL,Healthy,matchup (85),coach_fit (66),13,-2.1
28,Malik Nabers,NYG,WR,CLE,99.6,60.56,56.27,50.78,62.47,69.1,PLAY,Healthy,matchup (100),surface (75),14,-1.9
29,James Robinson,NO,RB,PHI,99.6,40.8,57.72,60.38,67.97,69.04,PLAY,Healthy,matchup (100),environment (83),1,-1.8
30,Matthew Stafford,LA,QB,SF,69.3,61.65,52.39,60.48,59.43,68.93,NEUTRAL,Healthy,coach_fit (95),matchup (70),2,-1.6
